Date,open,high,low,close,volume,adjusted_close
1992-08-19,5.000,5.000,4.500,4.875,16600,3.402
1992-08-20,4.875,4.875,4.750,4.750,3200,3.315
1992-08-21,4.875,4.875,4.625,4.625,4100,3.228
1992-08-24,4.625,4.750,4.625,4.750,11100,3.315
1992-08-25,4.875,4.875,4.750,4.750,9100,3.315
1992-08-26,4.750,4.875,4.750,4.875,14200,3.402
1992-08-27,5.000,5.250,4.875,5.125,14100,3.577
1992-08-28,5.250,5.500,5.250,5.375,12200,3.751
1992-08-31,5.250,5.250,5.000,5.125,7600,3.577
1992-09-01,5.125,5.125,5.000,5.125,3100,3.577
1992-09-02,5.250,5.250,5.000,5.250,3500,3.664
1992-09-03,5.125,5.250,5.000,5.250,4100,3.664
1992-09-04,5.250,5.250,5.250,5.250,100,3.664
1992-09-08,5.125,5.125,5.000,5.000,3500,3.489
1992-09-09,5.000,5.125,5.000,5.125,900,3.577
1992-09-10,5.000,5.125,5.000,5.000,4000,3.489
1992-09-11,5.000,5.250,5.000,5.250,3000,3.664
1992-09-14,5.375,5.375,5.000,5.000,15000,3.489
1992-09-15,5.000,5.125,5.000,5.125,3600,3.577
1992-09-16,5.125,5.250,5.000,5.000,7100,3.489
1992-09-17,5.000,5.250,5.000,5.250,1100,3.664
1992-09-18,5.125,5.375,5.125,5.375,3900,3.751
1992-09-21,5.375,5.375,5.125,5.125,3700,3.577
1992-09-22,5.125,5.250,5.000,5.000,9200,3.489
1992-09-23,5.125,5.250,5.125,5.250,1400,3.664
1992-09-24,5.375,5.500,5.375,5.500,7000,3.838
1992-09-25,5.375,5.500,5.375,5.500,12500,3.838
1992-09-28,5.250,5.500,5.250,5.500,3600,3.838
1992-09-29,5.500,6.500,5.500,6.500,25500,4.536
1992-09-30,6.500,6.500,6.000,6.250,17700,4.362
1992-10-01,6.125,6.250,6.125,6.125,8300,4.274
1992-10-02,6.000,6.125,5.875,6.125,4900,4.274
1992-10-05,5.875,5.875,5.500,5.750,9700,4.013
1992-10-06,5.875,6.000,5.875,6.000,2200,4.187
1992-10-07,6.125,6.125,6.000,6.000,7300,4.187
1992-10-08,5.875,5.875,5.750,5.875,1300,4.100
1992-10-09,5.875,6.000,5.750,5.750,2700,4.013
1992-10-12,5.750,5.875,5.750,5.750,1100,4.013
1992-10-13,5.875,6.125,5.875,6.125,3700,4.274
1992-10-14,6.125,6.125,6.000,6.125,7800,4.274
1992-10-15,6.125,6.125,6.000,6.125,7100,4.274
1992-10-16,6.000,6.000,6.000,6.000,700,4.187
1992-10-19,6.000,6.000,6.000,6.000,1000,4.187
1992-10-20,6.000,6.000,6.000,6.000,1200,4.187
1992-10-21,5.750,6.000,5.750,5.750,5200,4.013
1992-10-22,6.000,6.000,5.875,5.875,2100,4.100
1992-10-23,6.000,6.000,5.625,5.625,3400,3.926
1992-10-26,5.500,5.625,5.375,5.375,11800,3.751
1992-10-27,5.375,5.500,5.375,5.500,1000,3.838
1992-10-28,5.500,5.750,5.500,5.750,600,4.013
1992-10-29,5.625,5.875,5.500,5.875,4900,4.100
1992-10-30,5.750,5.750,5.625,5.750,4400,4.013
1992-11-02,5.750,5.750,5.625,5.750,2100,4.013
1992-11-03,5.875,5.875,5.750,5.875,4400,4.100
