Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Volume,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta,Last Price,Alpha for Beta Plus Minus,Price to Sales Ratio,News Sentiment - Daily Average,Twitter Sentiment Daily Average,Book Value per Share,EBITDA,Quick Ratio,Profit Margin,Return on Invested Capital,Total Debts to Total Capital
4/9/2013,14.67,33.534,4696944,143.6063,14.79,14.49,14.549,68.7928,61.386,16337931264,0.0392,0.8013,14.67,0.1166,3.3003,-0.0022,,,,,,,
4/10/2013,14.88,33.3401,4660284,147.0935,15,14.63,14.591,84.4529,63.1653,16571807744,0.0402,0.8019,14.88,0.112,3.2593,-0.0099,,,,,,,
4/11/2013,14.695,33.5175,6068562,144.0214,14.93,14.64,14.6125,50.7802,60.6197,16365773824,0.0372,0.8014,14.695,0.1127,3.2515,,,,,,,,
4/12/2013,14.66,33.5515,3825881,143.4402,14.79,14.59,14.6215,45.6185,60.1453,16326795264,0.038,0.801,14.66,0.1084,3.1673,,,,,,,,
4/15/2013,14.28,33.859,6302106,137.1301,14.65,14.27,14.6055,17.1795,55.286,15903590400,0.0329,0.8034,14.28,0.1084,3.2005,0.4151,,,,,,,
4/16/2013,14.43,33.7086,8874110,139.6209,14.51,14.32,14.5755,39.5084,56.7141,16070644736,0.0328,0.8035,14.43,0.1077,3.1451,0.3891,,,,,,,
4/17/2013,14.18,33.9487,6336998,135.4695,14.42,14.12,14.5405,23.601,53.7541,15792220160,0.0312,0.8045,14.18,0.1077,3.1318,0.2428,,,,,,,
4/18/2013,14.12,34.0102,4159108,134.4731,14.27,14.03,14.5005,20.6131,53.0665,15725398016,0.0313,0.8045,14.12,0.1079,3.1628,0.5682,,,,,,,
4/19/2013,14.26,33.8674,4864124,136.7979,14.32,13.88,14.4835,44.9884,54.4722,15881316352,0.0316,0.8047,14.26,0.1137,3.2116,,,,,,,,
4/22/2013,14.48,33.452,3161342,140.4512,14.53,14.19,14.4655,68.086,56.5861,16126328832,0.0359,0.8056,14.48,0.1136,3.2338,0.3185,,,,,,,
